Date,DIS Close Price,NFLX Close Price
07-08-13,65.91,249.21
08-08-13,65.75,250.4
09-08-13,64.73,252.75
12-08-13,63.93,256.6
13-08-13,63.98,259.19
14-08-13,63.96,261.81
15-08-13,62.38,253.41
16-08-13,62.17,258.87
19-08-13,61.83,259.78
20-08-13,61.88,273.29
21-08-13,61.14,270.37
22-08-13,61.64,269.75
23-08-13,61.73,278.36
26-08-13,61.35,282.72
27-08-13,60.69,276.04
28-08-13,60.81,283.36
29-08-13,61.08,287.85
30-08-13,60.83,283.91
03-09-13,60.93,289
04-09-13,61.11,292.43
05-09-13,61.3,295.11
06-09-13,61.39,291.54
09-09-13,61.59,294.15
10-09-13,62.83,313.06
11-09-13,63.94,308.3
12-09-13,65.49,301.406
13-09-13,66.69,305.65
16-09-13,66.94,302.16
17-09-13,66.98,299.55
18-09-13,67.11,306.92
19-09-13,65.72,305.498
20-09-13,65.01,313.83
23-09-13,64.75,302.04
24-09-13,64.32,306.49
25-09-13,64.45,307.14
26-09-13,65.24,313.51
27-09-13,65.19,312.4
30-09-13,64.49,309.21
01-10-13,64.83,324.62
02-10-13,64.88,330.73
03-10-13,64.02,321.72
04-10-13,65.3,327.26
07-10-13,64.59,318.16
08-10-13,64,302.32
09-10-13,63.59,288.43
10-10-13,65.58,303.994
11-10-13,66.21,300.848
14-10-13,66.83,324.36
15-10-13,66.44,321.69
16-10-13,66.35,322.878
17-10-13,66.42,330.1
18-10-13,67.15,333.5
21-10-13,67.61,354.99
22-10-13,69,354.99
23-10-13,68.12,330.24
24-10-13,69.05,331.22
25-10-13,69.26,328.031
28-10-13,69,314
29-10-13,68.92,327.3
30-10-13,68.47,318.14
31-10-13,68.59,322.48
01-11-13,69.01,329.265
04-11-13,68.81,337.6
05-11-13,68.85,341.5
06-11-13,69,335.63
07-11-13,67.15,326.86
08-11-13,68.58,334.9
11-11-13,68.34,337.91
12-11-13,67.77,333.73
13-11-13,68.97,335.284
14-11-13,70.02,342.57
15-11-13,70,349.76
18-11-13,69.5,341.77
19-11-13,69.12,337.29
20-11-13,69.23,339.52
21-11-13,69.94,348.5
22-11-13,70.2,347.85
25-11-13,69.74,350.24
26-11-13,71.18,355.2
27-11-13,70.77,362.49
29-11-13,70.54,365.8
02-12-13,70.91,363.92
03-12-13,69.9,362.94
04-12-13,69.97,356.27
05-12-13,70.23,358.06
06-12-13,71.46,354.44
09-12-13,71.11,355.67
10-12-13,71.57,363.1
11-12-13,70.52,363.98
12-12-13,69.63,373.33
13-12-13,69.62,368.97
16-12-13,70.51,366.31
17-12-13,70.66,374.87
18-12-13,72.2,376.24
19-12-13,72.97,376.74
20-12-13,72.4,375.67
23-12-13,73.28,380.58
24-12-13,73.85,378.39
26-12-13,74.62,376.93
27-12-13,74.35,367.5
30-12-13,76.23,366.99
31-12-13,76.4,368.17
02-01-14,76.27,362.82
03-01-14,76.11,363.1
06-01-14,75.82,359.57
07-01-14,76.34,339.5
08-01-14,75.22,340.99
09-01-14,74.9,337.05
10-01-14,75.39,332.14
13-01-14,73.27,336.81
14-01-14,74.45,337.96
15-01-14,74.28,330.38
16-01-14,74.21,331.68
17-01-14,73.98,330.04
21-01-14,74.2,328.71
22-01-14,75.31,333.73
23-01-14,74.79,388.72
24-01-14,72.72,386.08
27-01-14,72.25,381.23
28-01-14,72.88,406.77
29-01-14,71.33,400.42
30-01-14,73.22,404.67
31-01-14,72.61,409.33
03-02-14,69.99,404.38
04-02-14,71.05,405.91
05-02-14,71.76,404.42
06-02-14,75.56,407.91
07-02-14,75.67,429.98
10-02-14,77.06,430.44
11-02-14,77.79,433.99
12-02-14,77.91,428.93
13-02-14,77.9,436.55
14-02-14,79.23,435.51
18-02-14,79.58,436.85
19-02-14,78.87,428.23
20-02-14,79.19,434.95
21-02-14,80.13,432.23
24-02-14,80.73,447
25-02-14,80.21,453.03
26-02-14,80.08,448.79
27-02-14,80.48,452.23
28-02-14,80.81,445.63
03-03-14,79.46,445.59
04-03-14,81.71,454.98
05-03-14,82.68,453.5
06-03-14,83.34,450.51
07-03-14,82.21,448.37
10-03-14,81.97,439.95
11-03-14,81.05,437.48
12-03-14,81.38,436.58
13-03-14,79.93,430.06
14-03-14,80.07,424.49
17-03-14,81.39,422.72
18-03-14,81.99,420.25
19-03-14,80.52,420.09
20-03-14,80.81,424.27
21-03-14,80.35,405.99
24-03-14,79.49,378.9
25-03-14,79.55,370.84
26-03-14,78.62,372.28
27-03-14,78.48,364.18
28-03-14,78.99,358.87
31-03-14,80.07,352.03
01-04-14,81.57,364.69
02-04-14,81.67,362.88
03-04-14,81.69,354.69
04-04-14,80.43,337.31
07-04-14,79.13,338
08-04-14,79.57,348.89
09-04-14,80.47,353.03
10-04-14,77.51,334.73
11-04-14,77.01,326.71
14-04-14,77.62,331.58
15-04-14,77.66,326.27
16-04-14,78.95,331.41
17-04-14,79.99,345.74
21-04-14,79.11,348.49
22-04-14,79.45,372.9
23-04-14,79.52,353.5
24-04-14,79.59,344.07
25-04-14,78.23,322.08
28-04-14,77.78,314.21
29-04-14,78.64,319.87
30-04-14,79.34,322.04
01-05-14,79.56,336.519
02-05-14,80.31,340.65
05-05-14,81.22,344.38
06-05-14,81.03,326.19
07-05-14,80.29,320.54
08-05-14,81.6,321.66
09-05-14,81.95,328.55
12-05-14,82.42,345.45
13-05-14,82.08,347.14
14-05-14,80.92,351.88
15-05-14,80.15,344.19
16-05-14,80.39,349.88
19-05-14,81.05,364.5
20-05-14,81.09,371.67
21-05-14,82.19,390.6
22-05-14,82.35,391.8
23-05-14,83.32,402.35
27-05-14,83.74,398.81
28-05-14,83.6,401.24
29-05-14,84.03,415.2
30-05-14,84.01,417.83
02-06-14,84.27,422.06
03-06-14,83.88,417.57
04-06-14,84.24,423.21
05-06-14,84.78,428.35
06-06-14,84.61,430.13
09-06-14,85.48,423.09
10-06-14,84.75,428.29
11-06-14,84.31,430
12-06-14,82.8,422.45
13-06-14,82.8,427.71
16-06-14,83.3,430.26
17-06-14,83.16,443.65
18-06-14,83.58,448.68
19-06-14,83.77,441.39
20-06-14,82.82,440.18
23-06-14,82.76,439.52
24-06-14,82.68,436.36
25-06-14,83.9,444.21
26-06-14,84.45,439.61
27-06-14,85.3,442.08
30-06-14,85.74,440.6
01-07-14,86.47,473.1
02-07-14,86.44,466.74
03-07-14,86.84,472.35
07-07-14,86.59,460.62
08-07-14,85.86,445.05
09-07-14,87.22,443
10-07-14,86.86,438.55
11-07-14,86.89,439.96
14-07-14,86.76,452.5801
15-07-14,86.15,449.09
16-07-14,85.35,444.44
17-07-14,85.03,439.36
18-07-14,85.81,444.17
21-07-14,85.74,451.9499
22-07-14,86.21,431.09
23-07-14,86.04,427.9
24-07-14,86.8,425.38
25-07-14,86.23,421.86
28-07-14,87.15,424.66
29-07-14,86.2,424.28
30-07-14,87.21,434.36
31-07-14,85.88,422.72
01-08-14,85.38,425.4
04-08-14,87.24,422.7
05-08-14,86.75,422.85
06-08-14,86.59,430.3
07-08-14,85.51,449.67
08-08-14,86.85,445.85
11-08-14,87.5,451.54
12-08-14,87.21,446.41
13-08-14,87.6,451.53
14-08-14,88.61,450.87
15-08-14,89.28,459.09
18-08-14,89.97,466
19-08-14,90.09,468.15
20-08-14,89.84,472.19
21-08-14,90.38,472.05
22-08-14,90.49,479.19
25-08-14,90.38,480.93
26-08-14,90.02,479.36
27-08-14,90.37,474.7
28-08-14,90.94,475.21
29-08-14,89.88,477.64
02-09-14,90.8,476.6
03-09-14,90.94,477.39
04-09-14,90.14,472.67
05-09-14,90.94,475.68
